TimeStamp,RAW-ENG,MIN-ENG,MAX-ENG,RAW-VAL,MIN-VAL,MAX-VAL,RAW-MED,MIN-MED,MAX-MED,RAW-FRU,MIN-FRU,MAX-FRU,RAW-FOC,MIN-FOC,MAX-FOC,RAW-EXC,MIN-EXC,MAX-EXC,MarkerRange,MarkerType,MarkerTitle
1445326674.5469999,-0.548693,-1.79325,0.137829,-0.631181,-15.8213,20.165,0.123575,-0.0263623,0.4095,69.133,-7198.91,12801.7,1,0,1,7.04046,2.8011,17.999,0,0,0
1445326675.027,-0.555732,-1.79267,0.137707,-0.185878,-15.8524,20.1694,0.124576,-0.0261647,0.409147,68.1453,-7196.41,12781.9,0.995864,0,1,6.71709,2.8011,17.999,0,0,0
1445326675.527,-0.550234,-1.79211,0.137603,0.262368,-15.8805,20.1725,0.127163,-0.0259618,0.408803,67.7115,-7193.89,12762.3,1,0,1,7.34991,2.8011,17.999,0,0,0
1445326676.0669999,-0.535307,-1.79156,0.137546,0.542602,-15.9057,20.1744,0.13037,-0.0257522,0.40847,71.2151,-7191.33,12742.7,1,0,1,8.1548,2.8011,17.999,0,0,0
1445326676.5599999,-0.519043,-1.79105,0.137544,0.635814,-15.9286,20.1753,0.134249,-0.0255345,0.408149,96.7215,-7188.57,12723.2,1,0,1,8.35127,2.8011,17.999,0,0,0
1445326677.0969999,-0.500353,-1.79057,0.137609,1.21726,-15.9482,20.175,0.139026,-0.0253073,0.407844,119.806,-7185.64,12703.8,1,0,1,9.16719,2.8011,17.999,0,0,0
1445326677.5799999,-0.470986,-1.79016,0.137787,3.81635,-15.9587,20.1712,0.145221,-0.025068,0.407561,133.027,-7182.61,12684.4,1,0,1,8.63242,2.8011,17.999,0,0,0
1445326678.0869999,-0.427997,-1.78987,0.138148,6.81988,-15.9577,20.1636,0.158438,-0.0248043,0.407326,138.617,-7179.52,12665.2,1,0,1,8.20724,2.8011,17.999,0,0,0
1445326678.5810001,-0.389158,-1.78971,0.13869,8.16114,-15.9491,20.1545,0.171123,-0.0245202,0.407143,133.858,-7176.44,12646,1,0,1,8.4111,2.8011,17.999,0,0,0
1445326679.1370001,-0.354202,-1.78969,0.139411,6.98998,-15.9381,20.1453,0.182539,-0.0242203,0.407011,127.232,-7173.39,12626.9,1,0,1,8.14887,2.8011,17.999,0,0,0
1445326679.6270001,-0.322743,-1.7898,0.140301,4.05208,-15.9282,20.1362,0.192814,-0.0239083,0.406929,118.424,-7170.36,12607.9,1,0,1,8.06011,2.8011,17.999,0,0,0
